"matching","logodds","df","set"
"nonmatch",-5.7067352390835,3,"S-10-09-02-01"
"nonmatch",-7.58632568168421,3,"S-10-09-02-01"
"nonmatch",-7.84545657397037,3,"S-10-09-02-01"
"nonmatch",-8.49504655623621,3,"S-10-09-02-01"
"nonmatch",-5.6242555447879,3,"S-10-09-02-01"
"nonmatch",-6.32111079917351,3,"S-10-09-02-01"
"nonmatch",-7.2681556786963,3,"S-10-09-02-01"
"nonmatch",-7.83988047710518,3,"S-10-09-02-01"
"nonmatch",-5.37142431496546,3,"S-10-09-02-01"
"nonmatch",-6.78834856498702,3,"S-10-09-02-01"
"nonmatch",-9.03081260708467,3,"S-10-09-02-01"
"nonmatch",-7.77670798584583,3,"S-10-09-02-01"
"nonmatch",-5.25674870639883,3,"S-10-09-02-01"
"nonmatch",-6.00002249265132,3,"S-10-09-02-01"
"nonmatch",-4.76978722988949,3,"S-10-09-02-01"
"nonmatch",-8.25487735626504,3,"S-10-09-02-01"
"match",8.94896604574583,3,"S-10-09-02-01"
"nonmatch",-7.80363112354165,3,"S-10-09-02-01"
"nonmatch",-5.94425419461288,3,"S-10-09-02-01"
"nonmatch",-6.36077456744528,3,"S-10-09-02-01"
"nonmatch",-9.12294650770877,3,"S-10-09-02-01"
"nonmatch",-5.0368616365389,3,"S-10-09-02-01"
"nonmatch",-6.90799442962803,3,"S-10-09-02-01"
"nonmatch",-5.26218284552018,3,"S-10-09-02-01"
"nonmatch",-5.28817450740804,3,"S-10-09-02-01"
"nonmatch",-7.51150490622496,3,"S-10-09-02-01"
"nonmatch",-4.7199992026896,3,"S-10-09-02-01"
"nonmatch",-8.03583587679705,3,"S-10-09-02-01"
"nonmatch",-7.23733761590984,3,"S-10-09-02-01"
"nonmatch",-6.39846939051509,3,"S-10-09-02-01"
"nonmatch",-8.20926428140957,3,"S-10-09-02-01"
"nonmatch",-5.74211089518782,3,"S-10-09-02-01"
"nonmatch",-4.33949623032878,3,"S-10-09-02-01"
"nonmatch",-6.86772890723176,3,"S-10-09-02-01"
"nonmatch",-7.96316628453714,3,"S-10-09-02-01"
"match",5.33399630216106,3,"S-10-09-02-01"
"nonmatch",-9.17137288176466,3,"S-10-09-02-01"
"nonmatch",-7.14559679055668,3,"S-10-09-02-01"
"nonmatch",-5.35473719754489,3,"S-10-09-02-01"
"nonmatch",-6.13886880498857,3,"S-10-09-02-01"
"nonmatch",-8.75116731460455,3,"S-10-09-02-01"
